C:\Users\tomge\PycharmProjects\bet538\venv\Scripts\python.exe C:/Users/tomge/PycharmProjects/bet538/main.py

Successfully got 35 sports Here's the first sport:
{'key': 'americanfootball_nfl', 'active': True, 'group': 'American Football', 'details': 'US Football', 'title': 'NFL', 'has_outrights': False}

Successfully got 19 events Here's the first event:

Remaining requests 363
Used requests 137
[('Sydney FC', 'Western Sydney Wanderers'), 'betvictor', -100.0, 2, 0, 4.75]
[('Sydney FC', 'Western Sydney Wanderers'), 'onexbet', -100.0, 0, 0, 3.9]
[('Sydney FC', 'Western Sydney Wanderers'), 'onexbet', -100.0, 1, 0, 1.78]
[('Sydney FC', 'Western Sydney Wanderers'), 'onexbet', -100.0, 2, 0, 4.38]
[('Sydney FC', 'Western Sydney Wanderers'), 'ladbrokes', -100.0, 0, 0, 3.7]
[('Sydney FC', 'Western Sydney Wanderers'), 'ladbrokes', -100.0, 1, 0, 1.73]
[('Sydney FC', 'Western Sydney Wanderers'), 'ladbrokes', -100.0, 2, 0, 4.5]
[('Sydney FC', 'Western Sydney Wanderers'), 'betfair', -100.0, 0, 0, 3.85]
[('Sydney FC', 'Western Sydney Wanderers'), 'betfair', -100.0, 1, 0, 1.77]
[('Sydney FC', 'Western Sydney Wanderers'), 'betfair', -100.0, 2, 0, 4.8]
[('Melbourne City', 'Western United FC'), 'marathonbet', -100.0, 0, 0, 3.85]
[('Melbourne City', 'Western United FC'), 'marathonbet', -100.0, 1, 0, 1.85]
[('Melbourne City', 'Western United FC'), 'marathonbet', -100.0, 2, 0, 4.0]
[('Melbourne City', 'Western United FC'), 'betvictor', -100.0, 0, 0, 3.75]
[('Melbourne City', 'Western United FC'), 'betvictor', -100.0, 1, 0, 1.85]
[('Melbourne City', 'Western United FC'), 'betvictor', -100.0, 2, 0, 4.1]
[('Melbourne City', 'Western United FC'), 'onexbet', -100.0, 0, 0, 3.84]
[('Melbourne City', 'Western United FC'), 'onexbet', -100.0, 1, 0, 1.87]
[('Melbourne City', 'Western United FC'), 'onexbet', -100.0, 2, 0, 3.96]
[('Melbourne City', 'Western United FC'), 'unibet', -100.0, 0, 0, 3.85]
[('Melbourne City', 'Western United FC'), 'unibet', -100.0, 1, 0, 1.84]
[('Melbourne City', 'Western United FC'), 'unibet', -100.0, 2, 0, 4.0]
[('Melbourne City', 'Western United FC'), 'sport888', -100.0, 0, 0, 3.7]
[('Melbourne City', 'Western United FC'), 'sport888', -100.0, 1, 0, 1.77]
[('Melbourne City', 'Western United FC'), 'sport888', -100.0, 2, 0, 3.9]
[('Melbourne City', 'Western United FC'), 'ladbrokes', -100.0, 0, 0, 3.6]
[('Melbourne City', 'Western United FC'), 'ladbrokes', -100.0, 1, 0, 1.85]
[('Melbourne City', 'Western United FC'), 'ladbrokes', -100.0, 2, 0, 3.9]
[('Melbourne City', 'Western United FC'), 'betfair', -100.0, 0, 0, 3.8]
[('Melbourne City', 'Western United FC'), 'betfair', -100.0, 1, 0, 1.85]
[('Melbourne City', 'Western United FC'), 'betfair', -100.0, 2, 0, 3.95]
[('Newcastle Jets FC', 'Wellington Phoenix FC'), 'marathonbet', -100.0, 0, 0, 3.45]
[('Newcastle Jets FC', 'Wellington Phoenix FC'), 'marathonbet', -100.0, 1, 0, 2.45]
[('Newcastle Jets FC', 'Wellington Phoenix FC'), 'marathonbet', -100.0, 2, 0, 2.84]
[('Newcastle Jets FC', 'Wellington Phoenix FC'), 'sport888', -100.0, 0, 0, 3.2]
[('Newcastle Jets FC', 'Wellington Phoenix FC'), 'sport888', -100.0, 1, 0, 2.4]
[('Newcastle Jets FC', 'Wellington Phoenix FC'), 'sport888', -100.0, 2, 0, 2.75]
[('Newcastle Jets FC', 'Wellington Phoenix FC'), 'unibet', -100.0, 0, 0, 3.3]
[('Newcastle Jets FC', 'Wellington Phoenix FC'), 'unibet', -100.0, 1, 0, 2.48]
[('Newcastle Jets FC', 'Wellington Phoenix FC'), 'unibet', -100.0, 2, 0, 2.88]
[('Newcastle Jets FC', 'Wellington Phoenix FC'), 'ladbrokes', -100.0, 0, 0, 3.25]
[('Newcastle Jets FC', 'Wellington Phoenix FC'), 'ladbrokes', -100.0, 1, 0, 2.5]
[('Newcastle Jets FC', 'Wellington Phoenix FC'), 'ladbrokes', -100.0, 2, 0, 2.75]
[('Newcastle Jets FC', 'Wellington Phoenix FC'), 'betfair', -100.0, 0, 0, 3.3]
[('Newcastle Jets FC', 'Wellington Phoenix FC'), 'betfair', -100.0, 1, 0, 2.46]
[('Newcastle Jets FC', 'Wellington Phoenix FC'), 'betfair', -100.0, 2, 0, 2.9]
[('Central Coast Mariners', 'Western Sydney Wanderers'), 'unibet', -100.0, 0, 0, 3.6]
[('Central Coast Mariners', 'Western Sydney Wanderers'), 'unibet', -100.0, 1, 0, 3.1]
[('Central Coast Mariners', 'Western Sydney Wanderers'), 'unibet', -100.0, 2, 0, 2.2]
[('Central Coast Mariners', 'Western Sydney Wanderers'), 'sport888', -100.0, 0, 0, 3.45]
[('Central Coast Mariners', 'Western Sydney Wanderers'), 'sport888', -100.0, 1, 0, 3.0]
[('Central Coast Mariners', 'Western Sydney Wanderers'), 'sport888', -100.0, 2, 0, 2.12]
[('Central Coast Mariners', 'Western Sydney Wanderers'), 'onexbet', -100.0, 0, 0, 3.64]
[('Central Coast Mariners', 'Western Sydney Wanderers'), 'onexbet', -100.0, 1, 0, 3.06]
[('Central Coast Mariners', 'Western Sydney Wanderers'), 'onexbet', -100.0, 2, 0, 2.24]
[('Central Coast Mariners', 'Western Sydney Wanderers'), 'betvictor', -100.0, 0, 0, 3.5]
[('Central Coast Mariners', 'Western Sydney Wanderers'), 'betvictor', -100.0, 1, 0, 3.12]
[('Central Coast Mariners', 'Western Sydney Wanderers'), 'betvictor', -100.0, 2, 0, 2.25]
[('Central Coast Mariners', 'Western Sydney Wanderers'), 'betfair', -100.0, 0, 0, 3.25]
[('Central Coast Mariners', 'Western Sydney Wanderers'), 'betfair', -100.0, 1, 0, 3.1]
[('Central Coast Mariners', 'Western Sydney Wanderers'), 'betfair', -100.0, 2, 0, 2.18]
[('Central Coast Mariners', 'Western Sydney Wanderers'), 'marathonbet', -100.0, 0, 0, 3.64]
[('Central Coast Mariners', 'Western Sydney Wanderers'), 'marathonbet', -100.0, 1, 0, 3.08]
[('Central Coast Mariners', 'Western Sydney Wanderers'), 'marathonbet', -100.0, 2, 0, 2.22]
[('Central Coast Mariners', 'Western Sydney Wanderers'), 'ladbrokes', -100.0, 0, 0, 3.45]
[('Central Coast Mariners', 'Western Sydney Wanderers'), 'ladbrokes', -100.0, 1, 0, 3.05]
[('Central Coast Mariners', 'Western Sydney Wanderers'), 'ladbrokes', -100.0, 2, 0, 2.25]
[('Newcastle Jets FC', 'Brisbane Roar'), 'unibet', -100.0, 0, 0, 3.4]
[('Newcastle Jets FC', 'Brisbane Roar'), 'unibet', -100.0, 1, 0, 2.6]
[('Newcastle Jets FC', 'Brisbane Roar'), 'unibet', -100.0, 2, 0, 2.6]
[('Newcastle Jets FC', 'Brisbane Roar'), 'sport888', -100.0, 0, 0, 3.3]
[('Newcastle Jets FC', 'Brisbane Roar'), 'sport888', -100.0, 1, 0, 2.55]
[('Newcastle Jets FC', 'Brisbane Roar'), 'sport888', -100.0, 2, 0, 2.55]
[('Newcastle Jets FC', 'Brisbane Roar'), 'onexbet', -100.0, 0, 0, 3.4]
[('Newcastle Jets FC', 'Brisbane Roar'), 'onexbet', -100.0, 1, 0, 2.6]
[('Newcastle Jets FC', 'Brisbane Roar'), 'onexbet', -100.0, 2, 0, 2.65]

Successfully got 35 sports Here's the first sport:
{'key': 'americanfootball_nfl', 'active': True, 'group': 'American Football', 'details': 'US Football', 'title': 'NFL', 'has_outrights': False}

Successfully got 11 events Here's the first event:

Remaining requests 361
Used requests 139
[('Palmeiras', 'Gremio'), 'betclic', -100.0, 0, 0, 3.18]
[('Palmeiras', 'Gremio'), 'betclic', -100.0, 1, 0, 2.27]
[('Palmeiras', 'Gremio'), 'betclic', -100.0, 2, 0, 3.28]
[('Palmeiras', 'Gremio'), 'paddypower', -100.0, 0, 0, 3.0]
[('Palmeiras', 'Gremio'), 'paddypower', -100.0, 1, 0, 2.15]
[('Palmeiras', 'Gremio'), 'paddypower', -100.0, 2, 0, 3.3]
[('Palmeiras', 'Gremio'), 'betway', -100.0, 0, 0, 3.2]
[('Palmeiras', 'Gremio'), 'betway', -100.0, 1, 0, 2.3]
[('Palmeiras', 'Gremio'), 'betway', -100.0, 2, 0, 3.1]
[('Palmeiras', 'Gremio'), 'betfair', -100.0, 0, 0, 3.2]
[('Palmeiras', 'Gremio'), 'betfair', -100.0, 1, 0, 2.38]
[('Palmeiras', 'Gremio'), 'betfair', -100.0, 2, 0, 3.0]
[('Palmeiras', 'Gremio'), 'marathonbet', -100.0, 0, 0, 3.15]
[('Palmeiras', 'Gremio'), 'marathonbet', -100.0, 1, 0, 2.39]
[('Palmeiras', 'Gremio'), 'marathonbet', -100.0, 2, 0, 3.18]
[('Atletico Paranaense', 'Sao Paulo'), 'betclic', -100.0, 0, 0, 3.0]
[('Atletico Paranaense', 'Sao Paulo'), 'betclic', -100.0, 1, 0, 3.68]
[('Atletico Paranaense', 'Sao Paulo'), 'betclic', -100.0, 2, 0, 2.2]
[('Atletico Paranaense', 'Sao Paulo'), 'paddypower', -100.0, 0, 0, 2.9]
[('Atletico Paranaense', 'Sao Paulo'), 'paddypower', -100.0, 1, 0, 3.5]
[('Atletico Paranaense', 'Sao Paulo'), 'paddypower', -100.0, 2, 0, 2.1]
[('Atletico Paranaense', 'Sao Paulo'), 'betway', -100.0, 0, 0, 2.9]
[('Atletico Paranaense', 'Sao Paulo'), 'betway', -100.0, 1, 0, 3.6]
[('Atletico Paranaense', 'Sao Paulo'), 'betway', -100.0, 2, 0, 2.25]
[('Atletico Paranaense', 'Sao Paulo'), 'marathonbet', -100.0, 0, 0, 3.3]
[('Atletico Paranaense', 'Sao Paulo'), 'marathonbet', -100.0, 1, 0, 3.35]
[('Atletico Paranaense', 'Sao Paulo'), 'marathonbet', -100.0, 2, 0, 2.23]
[('Atletico Mineiro', 'Atletico Goianiense'), 'betclic', -100.0, 0, 0, 4.43]
[('Atletico Mineiro', 'Atletico Goianiense'), 'betclic', -100.0, 1, 0, 1.44]
[('Atletico Mineiro', 'Atletico Goianiense'), 'betclic', -100.0, 2, 0, 7.1]
[('Atletico Mineiro', 'Atletico Goianiense'), 'paddypower', -100.0, 0, 0, 4.5]
[('Atletico Mineiro', 'Atletico Goianiense'), 'paddypower', -100.0, 1, 0, 1.36]
[('Atletico Mineiro', 'Atletico Goianiense'), 'paddypower', -100.0, 2, 0, 7.0]
[('Atletico Mineiro', 'Atletico Goianiense'), 'betway', -100.0, 0, 0, 4.5]
[('Atletico Mineiro', 'Atletico Goianiense'), 'betway', -100.0, 1, 0, 1.4]
[('Atletico Mineiro', 'Atletico Goianiense'), 'betway', -100.0, 2, 0, 7.5]
[('Atletico Mineiro', 'Atletico Goianiense'), 'marathonbet', -100.0, 0, 0, 4.4]
[('Atletico Mineiro', 'Atletico Goianiense'), 'marathonbet', -100.0, 1, 0, 1.48]
[('Atletico Mineiro', 'Atletico Goianiense'), 'marathonbet', -100.0, 2, 0, 6.8]
[('Ceará', 'Bragantino-SP'), 'betclic', -100.0, 0, 0, 2.98]
[('Ceará', 'Bragantino-SP'), 'betclic', -100.0, 1, 0, 2.58]
[('Ceará', 'Bragantino-SP'), 'betclic', -100.0, 2, 0, 2.97]
[('Ceará', 'Bragantino-SP'), 'paddypower', -100.0, 0, 0, 2.9]
[('Ceará', 'Bragantino-SP'), 'paddypower', -100.0, 1, 0, 2.45]
[('Ceará', 'Bragantino-SP'), 'paddypower', -100.0, 2, 0, 2.8]
[('Ceará', 'Bragantino-SP'), 'betway', -100.0, 0, 0, 2.9]
[('Ceará', 'Bragantino-SP'), 'betway', -100.0, 1, 0, 2.6]
[('Ceará', 'Bragantino-SP'), 'betway', -100.0, 2, 0, 2.9]
[('Ceará', 'Bragantino-SP'), 'marathonbet', -100.0, 0, 0, 3.26]
